Gene_id	Gene_name	Gene_description	HM_3	HM_2	HM_1	Bb_3	Bb_2	Bb_1	HM	Bb
gene-BBA_02433	BBA_02433	putative GTP release factor	0	0.52	0.54	0.26	0	0	0.353333	0.086667
gene-BBA_02434	BBA_02434	phosphotransferase enzyme family protein	2.18	2.86	1.73	1.81	1.16	2.26	2.256667	1.743333
gene-BBA_02435	BBA_02435	peptidase C14	2.59	2.19	2.68	1.89	1.88	2.99	2.486667	2.253333
gene-BBA_02436	BBA_02436	histidine triad nucleotide-binding protein 3	16.66	15.63	15.18	6.95	6.52	8.36	15.823333	7.276667
gene-BBA_02437	BBA_02437	hypothetical protein	0.72	0.71	0.74	0.33	0.41	0.55	0.723333	0.43
gene-BBA_02438	BBA_02438	general amidase GmdA	1.88	1.51	2.39	0.15	0.38	0.34	1.926667	0.29
gene-BBA_02439	BBA_02439	pelota-like protein	51.85	48.33	54.91	22.87	16.52	33.8	51.696667	24.396667
gene-BBA_02440	BBA_02440	peptidase M61 domain protein	61.74	45.04	79.84	78.35	60.07	93.36	62.206667	77.26
gene-BBA_02441	BBA_02441	WD repeat domain-containing protein	23.54	20.97	22.42	24.76	24.21	28.06	22.31	25.676667
gene-BBA_02442	BBA_02442	thioredoxin-like protein	189.38	184.65	188.39	175.58	167.99	173.75	187.473333	172.44
gene-BBA_02443	BBA_02443	cell cycle control protein cwf8	52.98	52.87	65.63	82.62	76.07	86.26	57.16	81.65
gene-BBA_02444	BBA_02444	OHCU decarboxylase	50.14	81.51	58.18	62.85	64.61	60.4	63.276667	62.62
gene-BBA_02445	BBA_02445	acyl-CoA thioesterase II	13.23	10.37	12.35	8.41	5.93	7.11	11.983333	7.15
gene-BBA_02446	BBA_02446	ice nucleation protein	436.13	421.85	396.67	334.17	302.84	304.22	418.216667	313.743333
gene-BBA_02447	BBA_02447	BRO1-like domain-containing protein	53.03	51.97	50.7	34.37	26.75	38.43	51.9	33.183333
gene-BBA_02448	BBA_02448	SPFH domain/Band 7 family protein	9.69	5.71	5.67	10.32	9.45	6.87	7.023333	8.88
gene-BBA_02449	BBA_02449	"Blood coagulation inhibitor, Disintegrin"	3.54	3.43	3.18	4.82	3.67	4.46	3.383333	4.316667
gene-BBA_02450	BBA_02450	hypothetical protein	14.12	21.37	14.05	23.63	13.81	19.51	16.513333	18.983333
gene-BBA_02451	BBA_02451	oligopeptide transporter	369.54	349.54	394.88	271.2	237.68	316.48	371.32	275.12
gene-BBA_02452	BBA_02452	"ferulic acid esterase (FaeA), putative"	130.43	148.21	137.78	262.27	234.37	256.85	138.806667	251.163333
gene-BBA_02453	BBA_02453	NAD dependent epimerase/dehydratase family protein	12.11	12.31	12.69	12.59	11.53	14.63	12.37	12.916667
gene-BBA_02454	BBA_02454	hypothetical protein	0	20.34	2.19	2.14	9.16	7	7.51	6.1
gene-BBA_02455	BBA_02455	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_02456	BBA_02456	carotenoid ester lipase precursor	0.17	0.3	0.32	0.74	2.42	1.74	0.263333	1.633333
gene-BBA_02457	BBA_02457	agglutinin isolectin VI precursor	0.34	1.33	2.94	7.67	5.1	5.63	1.536667	6.133333
gene-BBA_02458	BBA_02458	hypothetical protein	7.7	9.57	8.73	4.86	4.49	9.35	8.666667	6.233333
gene-BBA_02459	BBA_02459	hypothetical protein	841.37	802.54	911.32	57	52.74	70.44	851.743333	60.06
gene-BBA_02460	BBA_02460	endonuclease/exonuclease/phosphatase family	54.57	61.66	62.88	68.95	73.97	67.15	59.703333	70.023333
gene-BBA_02461	BBA_02461	"3',5'-bisphosphate nucleotidase"	6.09	8.17	8.4	11.36	9.09	14.33	7.553333	11.593333
gene-BBA_02462	BBA_02462	hypothetical protein	8.6	9.2	9.41	14.24	11.13	19.86	9.07	15.076667
gene-BBA_02463	BBA_02463	F-box domain-containing protein	22.4	23.04	26.22	35.67	32.46	41.12	23.886667	36.416667
gene-BBA_02464	BBA_02464	hypothetical protein	2.1	2.44	3.1	0.17	0.31	0.55	2.546667	0.343333
gene-BBA_02465	BBA_02465	MFS monocarboxylic acid transporter	65.38	57.51	60.29	29.35	32.92	25.77	61.06	29.346667
gene-BBA_02466	BBA_02466	DNA repair protein	11.21	10.73	12.29	10.97	9.75	13.3	11.41	11.34
gene-BBA_02467	BBA_02467	carbon-nitrogen hydrolase	15.43	11.35	14.43	24	12.24	26.52	13.736667	20.92
gene-BBA_02468	BBA_02468	WLM domain-containing protein	164.8	250.74	126.35	235.37	369.07	84.67	180.63	229.703333
gene-BBA_02469	BBA_02469	hypothetical protein	0.18	0.21	0.07	0	0.06	0	0.153333	0.02
gene-BBA_02470	BBA_02470	protein kinase domain-containing protein	2.15	2.04	3.27	8.4	5.97	9.9	2.486667	8.09
gene-BBA_02471	BBA_02471	ER lumen protein retaining receptor	85.27	81.7	93.64	61.74	55.47	68.57	86.87	61.926667
gene-BBA_02472	BBA_02472	transcription initiation factor TFIID subunit 10	77.01	63.94	84.05	81.53	83.5	90.05	75	85.026667
gene-BBA_02473	BBA_02473	ribosomal protein S19	184.88	195.14	162.97	273.4	298.14	294.13	180.996667	288.556667
gene-BBA_02474	BBA_02474	DUF544 domain-containing protein	6.35	6.42	5.71	2.5	3.29	2.48	6.16	2.756667
gene-BBA_02475	BBA_02475	3-oxo-5-alpha-steroid 4-dehydrogenase	25.2	21.36	21.7	21.37	18.72	25.71	22.753333	21.933333
gene-BBA_02476	BBA_02476	Sugar transporter family protein	30.49	32.36	26.38	38.92	48.72	40.85	29.743333	42.83
gene-BBA_02477	BBA_02477	Histone H2A	135.41	116.3	141.06	212.45	234.7	248.38	130.923333	231.843333
gene-BBA_02478	BBA_02478	R3H domain-containing protein	13.02	10.67	13.76	10.95	11.4	11.47	12.483333	11.273333
gene-BBA_02479	BBA_02479	zinc-type alcohol dehydrogenase-like protein	12.95	13.55	11.02	7.87	8.09	8.08	12.506667	8.013333
gene-BBA_02480	BBA_02480	stalk rot protein	30.11	28.6	34.95	30.27	29.43	34.36	31.22	31.353333
gene-BBA_02481	BBA_02481	DUF636 domain-containing protein	7.43	8.81	8.81	14.41	12.75	19.15	8.35	15.436667
gene-BBA_02482	BBA_02482	carboxypeptidase Y	77.52	63.07	92.76	246.31	172.09	283.27	77.783333	233.89
gene-BBA_02483	BBA_02483	serine/threonine-protein kinase ssp1	24.08	21	25.79	30.93	33.53	34.58	23.623333	33.013333
gene-BBA_02484	BBA_02484	glycosyl transferase group 1	33.01	26.09	30.76	15.53	12.86	19.19	29.953333	15.86
gene-BBA_02485	BBA_02485	enoyl-CoA hydratase/isomerase	59.83	42.54	47.63	24.87	20.94	33.26	50	26.356667
gene-BBA_02486	BBA_02486	TBC domain-containing protein	12.61	16.25	8.83	9.49	11.73	7.2	12.563333	9.473333
gene-BBA_02487	BBA_02487	WD repeat domain-containing protein	6.37	5.41	7.17	12.16	11.06	13.5	6.316667	12.24
gene-BBA_02488	BBA_02488	protamine P1	5.48	3.86	7.08	5.57	5.1	7.67	5.473333	6.113333
gene-BBA_02489	BBA_02489	inositol polyphosphate kinase	21.63	22.65	20.17	11.91	14.31	11.81	21.483333	12.676667
gene-BBA_02490	BBA_02490	FAD dependent oxidoreductase	7.81	6.14	5.91	47.03	53.82	45.04	6.62	48.63
gene-BBA_02491	BBA_02491	rho-related gtp-binding protein rhoe	3.16	2.55	2.3	5.04	3.38	4.64	2.67	4.353333
gene-BBA_02492	BBA_02492	UDP-N-acetylglucosamine transferase subunit alg14	16.3	16.44	16.35	8.51	7.83	11.16	16.363333	9.166667
gene-BBA_02493	BBA_02493	37S ribosomal protein Rsm25	39.55	49	45.82	61.28	62.44	55.44	44.79	59.72
gene-BBA_02494	BBA_02494	pentatricopeptide repeat protein	9.03	9.07	11.23	8.62	7.58	10.5	9.776667	8.9
gene-BBA_02495	BBA_02495	cytochrome-c oxidase chain VIIc	737.32	678.11	817.21	1104.13	1124.81	1079.23	744.213333	1102.723333
gene-BBA_02496	BBA_02496	DSHCT domain-containing protein	23.48	21.03	26.34	22.69	21.02	21.85	23.616667	21.853333
gene-BBA_02497	BBA_02497	membrane protein	28.53	21.31	27.85	22.27	20.49	27.81	25.896667	23.523333
gene-BBA_02498	BBA_02498	integral inner nuclear membrane protein Ima1	5.57	4.8	6.76	4.86	4.94	5.26	5.71	5.02
gene-BBA_02499	BBA_02499	tyrosine phosphatase	29.81	22.08	27.3	16.63	14.93	18.65	26.396667	16.736667
gene-BBA_02500	BBA_02500	serine/threonine-protein kinase	1.52	1.06	1.88	1.07	0.69	1.18	1.486667	0.98
gene-BBA_02501	BBA_02501	chloride-bicarbonate anion exchanger AE2	11.23	9.39	10.95	11.89	9.6	11.8	10.523333	11.096667
gene-BBA_02502	BBA_02502	timeless protein	5.11	3.7	6.38	5.81	4.61	5.89	5.063333	5.436667
gene-BBA_02503	BBA_02503	3-hydroxybutyryl-CoA dehydrogenase	151.82	130.89	165.91	114.67	112.66	127.47	149.54	118.266667
gene-BBA_02504	BBA_02504	acyl-CoA dehydrogenase	72.84	61.91	65.28	51.36	45.59	67.15	66.676667	54.7
gene-BBA_02505	BBA_02505	homeobox domain-containing protein	43.54	32.17	51.44	53.89	50.31	70.9	42.383333	58.366667
gene-BBA_02506	BBA_02506	Rox3 mediator complex subunit	6.43	4.6	4.36	5.43	7.4	3.86	5.13	5.563333
gene-BBA_02507	BBA_02507	fungal specific transcription factor	26.26	20.59	25.24	29.18	25.97	28.8	24.03	27.983333
gene-BBA_02508	BBA_02508	hypothetical protein	61.66	50.52	64.5	57.08	56.63	66.1	58.893333	59.936667
gene-BBA_02509	BBA_02509	hypothetical protein	54.2	48.05	54.92	23.08	17.57	24.91	52.39	21.853333
gene-BBA_02510	BBA_02510	tol protein	18.28	16.51	20.86	13.14	14.32	14.29	18.55	13.916667
gene-BBA_02511	BBA_02511	AMP-dependent synthetase/ligase	103.46	94.39	102.37	132.33	107.97	135.58	100.073333	125.293333
gene-BBA_02512	BBA_02512	putative ATP-dependent RNA helicase DED1	84.34	94.28	93.68	67.09	76.63	59.53	90.766667	67.75
gene-BBA_02513	BBA_02513	hypothetical protein	7.82	6.19	6.75	1.87	1.85	2.24	6.92	1.986667
gene-BBA_02514	BBA_02514	tat pathway signal sequence	40.45	44.95	43.28	51.92	42.09	51.04	42.893333	48.35
gene-BBA_02515	BBA_02515	citrate synthase family member	83.47	87.93	65.33	42.29	47.65	46.95	78.91	45.63
gene-BBA_02516	BBA_02516	"Malate synthase, glyoxysomal"	436.24	416.94	429.31	269.65	274.78	273.86	427.496667	272.763333
gene-BBA_02517	BBA_02517	BR serine/threonine-protein kinase	7.56	6.84	6.43	33.73	27.85	35.28	6.943333	32.286667
gene-BBA_02518	BBA_02518	RecF/RecN/SMC N terminal domain-containing protein	14	13.03	16.24	11.69	10.77	15.29	14.423333	12.583333
gene-BBA_02519	BBA_02519	kelch repeat-containing protein	9.05	8.6	10.44	9.94	10.82	11.18	9.363333	10.646667
gene-BBA_02520	BBA_02520	CTD kinase subunit alpha	43.24	35.16	47.03	32.73	29.56	36.03	41.81	32.773333
gene-BBA_02521	BBA_02521	"hydrolase, alpha/beta fold family"	43	49.42	48.36	25.45	27.34	20.87	46.926667	24.553333
gene-BBA_02522	BBA_02522	60S ribosomal subunit assembly/export protein LOC1	21.91	30.15	30.42	23.39	27.77	22.45	27.493333	24.536667
gene-BBA_02523	BBA_02523	translation initiation factor 4e	55.13	43.25	51.7	52.27	49.72	54.74	50.026667	52.243333
gene-BBA_02524	BBA_02524	U4/U6.U5 tri-snRNP-associated protein	13.89	12.34	15.86	12.74	10.78	13.75	14.03	12.423333
gene-BBA_02525	BBA_02525	U3 small nucleolar RNA-associated protein	19.61	15.92	25.42	7.89	8.89	9.81	20.316667	8.863333
gene-BBA_02526	BBA_02526	hypothetical protein	23.09	22.33	25.95	8.26	7.26	11.59	23.79	9.036667
gene-BBA_02527	BBA_02527	MCM2/3/5 family protein	21.32	16.03	22.49	19.93	17.15	23.29	19.946667	20.123333
gene-BBA_02528	BBA_02528	GARP complex component (Vps54)	21.91	18.67	26.79	14.98	13.24	16.75	22.456667	14.99
gene-BBA_02529	BBA_02529	DNase1 protein	16.99	9.9	19.91	2.22	2.63	1.72	15.6	2.19
gene-BBA_02530	BBA_02530	pantothenate transporter	3.06	1.6	3.02	1.12	2.07	2.05	2.56	1.746667
gene-BBA_02531	BBA_02531	farnesyl pyrophosphate synthetase	196.36	179.81	217.04	171.18	168.04	186.63	197.736667	175.283333
gene-BBA_02532	BBA_02532	S-layer protein	1.8	1.55	1.13	1.38	0.64	2.23	1.493333	1.416667
gene-BBA_02533	BBA_02533	tetratricopeptide-like protein	14.92	10.33	13.51	11.82	11.03	16.42	12.92	13.09
gene-BBA_02534	BBA_02534	hypothetical protein	2.88	2.19	2.54	8.39	6.1	9.78	2.536667	8.09
gene-BBA_02535	BBA_02535	RmlD substrate binding domain-containing protein	32.34	37.03	35.98	41.01	24.79	44.73	35.116667	36.843333
gene-BBA_02536	BBA_02536	micro-fibrillar-associated protein 1	3.84	4.99	6.32	4.61	4.67	4.74	5.05	4.673333
gene-BBA_02537	BBA_02537	DNA polymerase alpha/epsilon subunit B	18.47	16.21	19.85	16.01	17.2	17.85	18.176667	17.02
gene-BBA_02538	BBA_02538	GATA transcription factor	8.36	7	10.4	13.29	11.29	16.71	8.586667	13.763333
gene-BBA_02539	BBA_02539	enoyl-CoA hydratase/isomerase	137.08	120.55	146.08	149.49	148.32	157.35	134.57	151.72
gene-BBA_02540	BBA_02540	LSM domain-containing protein	111.77	105.16	107.27	138.17	128.9	141.17	108.066667	136.08
gene-BBA_02541	BBA_02541	dihydroxyacetone kinase	16.06	13.08	17.39	20.23	21.08	26.72	15.51	22.676667
gene-BBA_02542	BBA_02542	glycosyl hydrolase family 76	54.3	45.46	49.98	38.63	33.69	39.13	49.913333	37.15
gene-BBA_02543	BBA_02543	lipase/esterase	12.05	8.59	9.43	4.31	3.62	4.41	10.023333	4.113333
gene-BBA_02544	BBA_02544	hypothetical protein	151.94	146.34	146.46	109.19	111.7	121.57	148.246667	114.153333
gene-BBA_02545	BBA_02545	hypothetical protein	15.7	16.68	17.19	11.24	13.69	11.67	16.523333	12.2
gene-BBA_02546	BBA_02546	"multidrug resistance protein MDR, putative"	19.16	14.45	19.54	16.05	14.87	23.52	17.716667	18.146667
gene-BBA_02547	BBA_02547	hypothetical protein	23.93	24.92	29.88	16.27	16.51	24.38	26.243333	19.053333
gene-BBA_02548	BBA_02548	twin-arginine translocation pathway signal	0.4	0.3	0.55	0.53	0.35	0.25	0.416667	0.376667
gene-BBA_02549	BBA_02549	XPG domain-containing protein	36.54	35.48	39.31	29.1	27.51	35.37	37.11	30.66
gene-BBA_02550	BBA_02550	atmA protein	24.59	24.1	23.58	13.93	11.03	19.65	24.09	14.87
gene-BBA_02551	BBA_02551	hypothetical protein	13.4	39.98	11.77	19.98	13.89	12.61	21.716667	15.493333
gene-BBA_02552	BBA_02552	serine/threonine protein kinase	1.26	1.27	2.44	0.18	0.5	0.27	1.656667	0.316667
gene-BBA_02553	BBA_02553	short-chain dehydrogenase/reductase	21.77	17.5	20.69	18.79	13.24	21.47	19.986667	17.833333
gene-BBA_02554	BBA_02554	thioredoxin reductase GliT	4.23	2.98	3.89	1.54	1.1	2.18	3.7	1.606667
gene-BBA_02555	BBA_02555	C6 zinc finger domain protein	4.1	3.2	3.79	2.18	1.19	3.91	3.696667	2.426667
gene-BBA_02556	BBA_02556	"ABC transporter, putative"	0.1	0.12	0.12	0	0	0	0.113333	0
gene-BBA_02557	BBA_02557	C6 transcription factor	0.22	0.07	0.11	0	0.03	0	0.133333	0.01
gene-BBA_02558	BBA_02558	ferulic acid esterase (FaeA)	17.97	20.36	19.76	12.91	9.23	14.2	19.363333	12.113333
gene-BBA_02559	BBA_02559	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_02560	BBA_02560	"dual specificity phosphatase Yvh1, putative"	1.73	1.66	1.38	2.33	1.53	1.72	1.59	1.86
gene-BBA_02561	BBA_02561	"Intradiol ring-cleavage dioxygenase, core"	18.58	21.77	19.46	34.54	30.95	35.41	19.936667	33.633333
gene-BBA_02562	BBA_02562	"AdoMet-dependent methyltransferase, Putative"	10.62	11.17	13.39	10	8.48	12.86	11.726667	10.446667
gene-BBA_02563	BBA_02563	"5-Methylcytosine G/T mismatch-specific DNA glycosylase, putative"	29.35	25.34	31.2	22.85	18.1	28.35	28.63	23.1
gene-BBA_02564	BBA_02564	Ankyrin repeat-containing protein	6.28	4.93	5.89	10.04	9.63	12.82	5.7	10.83
gene-BBA_02565	BBA_02565	sulfate adenylyltransferase	63.91	44.96	62.27	28.98	23.31	27.03	57.046667	26.44
gene-BBA_02566	BBA_02566	transient receptor potential ion channel	21.37	18.26	21.99	20.35	14.04	25.14	20.54	19.843333
gene-BBA_02567	BBA_02567	nitrogen assimilation transcription factor nirA	30.55	30.65	35.17	42.51	24.13	50.77	32.123333	39.136667
gene-BBA_02568	BBA_02568	short chain dehydrogenase	18.51	28.1	15.17	9.32	5.83	9.34	20.593333	8.163333
gene-BBA_02569	BBA_02569	hypothetical protein	533.79	948.26	316.33	458.06	704.63	694.2	599.46	618.963333
gene-BBA_02570	BBA_02570	hypothetical protein	1.31	2.3	1.89	2.95	2.83	4.58	1.833333	3.453333
gene-BBA_02571	BBA_02571	Zinc finger CCCH type domain containing protein	44.34	43.11	54.48	37.71	33.22	46.72	47.31	39.216667
gene-BBA_02572	BBA_02572	LSM domain-containing protein	22.8	21.84	25.75	29.16	23.64	27.07	23.463333	26.623333
gene-BBA_02573	BBA_02573	hypothetical protein	11.59	7.77	11.42	13.31	9.11	14.36	10.26	12.26
gene-BBA_02574	BBA_02574	Urease accessory protein UreF	15.5	11.95	15.11	16.13	16.91	14.95	14.186667	15.996667
gene-BBA_02575	BBA_02575	pre-mRNA splicing factor cwc2	33.39	31.8	33.44	28.6	34.2	29.63	32.876667	30.81
gene-BBA_02576	BBA_02576	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_02577	BBA_02577	hypothetical protein	0.39	0.3	0.1	0	0	0.45	0.263333	0.15
gene-BBA_02578	BBA_02578	DnaJ domain-containing protein	297.29	379.28	242.49	327.76	655.81	167.6	306.353333	383.723333
gene-BBA_02579	BBA_02579	beta-glucuronidase	193.63	155.88	206.26	48.79	51.93	51.67	185.256667	50.796667
gene-BBA_02580	BBA_02580	allergen-like protein	121.54	111.25	84.87	77.34	61.67	103.46	105.886667	80.823333
gene-BBA_02581	BBA_02581	fatty acid hydroxylase superfamily protein	49.86	47.46	47.48	32.99	25.16	24.35	48.266667	27.5
gene-BBA_02582	BBA_02582	haloacid dehalogenase-like hydrolase	250.82	241.12	246.67	281.61	270.94	318.16	246.203333	290.236667
gene-BBA_02583	BBA_02583	initiator tRNA phosphoribosyl transferase	2.04	2.02	2.09	2.07	1.74	2.5	2.05	2.103333
gene-BBA_02584	BBA_02584	oxidoreductase family protein	95.74	101.13	82.38	84.98	87.58	111.55	93.083333	94.703333
gene-BBA_02585	BBA_02585	dihydrodipicolinate synthase	55.71	82.82	49.07	73.07	98.32	92.61	62.533333	88
gene-BBA_02586	BBA_02586	metalloprotease 1 precursor	0	0.06	0	0	0	0	0.02	0
gene-BBA_02587	BBA_02587	hypothetical protein	3.6	3.37	2.2	0.89	1.08	0.37	3.056667	0.78
gene-BBA_02588	BBA_02588	Nop16-like protein	24.49	23.53	33.47	19.91	21.84	19.47	27.163333	20.406667
gene-BBA_02589	BBA_02589	Dug3p-like protein	48.48	44.25	51.24	18.65	17.62	23.43	47.99	19.9
gene-BBA_02590	BBA_02590	hypothetical protein	3.51	3.26	4.67	0.68	0.42	1.13	3.813333	0.743333
gene-BBA_02591	BBA_02591	C6 zinc finger domain protein	84.23	57.69	92.9	61.25	43.01	68.61	78.273333	57.623333
gene-BBA_02592	BBA_02592	eukaryotic aspartyl protease	11.03	9.67	10.6	6.3	5.77	5.52	10.433333	5.863333
gene-BBA_02593	BBA_02593	glutathione peroxidase	1248.99	1159.11	1142.36	587.99	625.12	621.19	1183.486667	611.433333
gene-BBA_02594	BBA_02594	FAD dependent oxidoreductase	78.94	74.36	66.12	53.16	45.84	54.23	73.14	51.076667
gene-BBA_02595	BBA_02595	major facilitator superfamily transporter	32.68	28.62	30.8	17.64	17.06	18.74	30.7	17.813333
gene-BBA_02596	BBA_02596	hypothetical protein	110.94	122.18	90.23	40.63	29.57	40.55	107.783333	36.916667
gene-BBA_02597	BBA_02597	WD domain-containing protein	6.89	5.9	6.36	3.62	3.33	5.23	6.383333	4.06
gene-BBA_02598	BBA_02598	heme oxygenase	91.54	83.21	104.51	7.07	5.82	10.7	93.086667	7.863333
gene-BBA_02599	BBA_02599	C6 finger domain protein	16.49	15.44	18.96	9.56	7.59	10.85	16.963333	9.333333
gene-BBA_02600	BBA_02600	MFS multidrug transporter	0.3	0.32	0.38	0.23	0.59	0.66	0.333333	0.493333
gene-BBA_02601	BBA_02601	thiamine-repressible mitochondrial transport protein THI74	32.58	28.97	32.26	39.8	35.31	43.1	31.27	39.403333
gene-BBA_02602	BBA_02602	cell wall protein	112.7	128.52	78.67	2267.86	3082.85	2633.32	106.63	2661.343333
gene-BBA_02603	BBA_02603	ABC-type nitrate/sulfonate/bicarbonate transporter	81.56	74.66	77.02	156.39	143.16	165.69	77.746667	155.08
gene-BBA_02604	BBA_02604	Copper fist DNA binding domain protein	44.69	49.23	40.29	36.24	30.72	38.73	44.736667	35.23
gene-BBA_02605	BBA_02605	family S53 protease	1.65	1.14	2.32	0.12	0.47	0.92	1.703333	0.503333
gene-BBA_02606	BBA_02606	"multidrug resistance protein MDR, putative"	0.39	0.28	0.52	0.07	0.05	0.18	0.396667	0.1
gene-BBA_02607	BBA_02607	phosphotransferase enzyme family protein	0.52	1.09	0.62	0.4	0.18	0.55	0.743333	0.376667
gene-BBA_02608	BBA_02608	biotrophy-associated secreted protein 2	0.42	0	2.78	1.69	0	1.12	1.066667	0.936667
gene-BBA_02609	BBA_02609	major facilitator superfamily transporter	16.66	16.77	15.75	13.18	12.56	16.13	16.393333	13.956667
gene-BBA_02610	BBA_02610	"glucan 1, 4-alpha-glucosidase"	14.54	14.87	13.33	12.38	12.74	12.13	14.246667	12.416667
gene-BBA_02611	BBA_02611	chromatin assembly factor 1 subunit A	11.51	9.14	14.26	9.61	9.34	16.46	11.636667	11.803333
gene-BBA_02612	BBA_02612	hypothetical protein	45.1	40.16	37.14	59.03	71.23	59.51	40.8	63.256667
gene-BBA_02613	BBA_02613	multicopper oxidase	39.35	26.11	38.93	0.33	0.57	0.59	34.796667	0.496667
gene-BBA_02614	BBA_02614	hypothetical protein	162.62	155.37	146.68	0	0.19	0.45	154.89	0.213333
gene-BBA_02615	BBA_02615	hypothetical protein	0	0	0	0	0.13	0	0	0.043333
gene-BBA_02616	BBA_02616	receptor-interacting serine/threonine-protein kinase	0	0.11	0.18	0.06	0.05	0	0.096667	0.036667
gene-BBA_02617	BBA_02617	Ankyrin repeat protein	0.14	0.38	0.28	0.6	0.7	0.6	0.266667	0.633333
gene-BBA_02618	BBA_02618	hypothetical protein	68.31	77.03	61.91	52.49	38.47	51.81	69.083333	47.59
gene-BBA_02619	BBA_02619	hypothetical protein	52.73	62.98	28.18	76.38	89.61	60.68	47.963333	75.556667
gene-BBA_02620	BBA_02620	hypothetical protein	61.86	59.03	64.18	83.81	92.25	82.31	61.69	86.123333
gene-BBA_02621	BBA_02621	putative response regulator protein	28.84	25.07	29.27	18.91	17.24	19.99	27.726667	18.713333
gene-BBA_02622	BBA_02622	hypothetical protein	9.29	7.86	11.82	13	12.57	16.09	9.656667	13.886667
gene-BBA_02623	BBA_02623	coiled-coil domain-containing protein	16.18	13.31	15.18	16.35	16.01	22.59	14.89	18.316667
gene-BBA_02624	BBA_02624	lipase-like protein	10.81	8.69	11.8	6	4.61	7.78	10.433333	6.13
gene-BBA_02625	BBA_02625	Putative Gcn5-related N-acetyltransferase	140.32	142.38	128.39	110.38	93.19	118.7	137.03	107.423333
gene-BBA_02626	BBA_02626	Putative pyridoxamine phosphate oxidase	6.32	6.52	5.05	11.08	17.84	16.35	5.963333	15.09
gene-BBA_02627	BBA_02627	hypothetical protein	1052.34	994.82	998.99	1945.93	1435.11	2031.06	1015.383333	1804.033333
gene-BBA_02628	BBA_02628	Putative heterokaryon incompatibility protein	1.33	0.51	0.77	0.2	0.4	0.65	0.87	0.416667
gene-BBA_02629	BBA_02629	Putative conidiospore surface protein	0	0	0	0	0	0	0	0
gene-BBA_02630	BBA_02630	bassianolide nonribosomal peptide synthetase	0.03	0.01	0.05	0	0.01	0.01	0.03	0.006667
gene-BBA_02631	BBA_02631	hypothetical protein	994.41	954.65	1016.5	564.21	468.66	590.3	988.52	541.056667
gene-BBA_02632	BBA_02632	Cytochrome P450 CYP617A2	11.16	10.09	9.95	9.71	7.18	11.8	10.4	9.563333
gene-BBA_02633	BBA_02633	alpha/beta hydrolase fold-3 domain containing protein	36.07	31.12	39.17	36.71	30.48	38.01	35.453333	35.066667
gene-BBA_02634	BBA_02634	Putative Gal4-like transcriptional regulator	4.68	6.22	6.19	1.47	1.63	3.32	5.696667	2.14
gene-BBA_02635	BBA_02635	Putative GTPase	78.13	72.64	82.66	58.31	51.77	70.55	77.81	60.21
gene-BBA_02636	BBA_02636	BNS1 protein	10.78	8.61	10.84	23.29	24.39	24.9	10.076667	24.193333
gene-BBA_02637	BBA_02637	Putative FadE2-like acyl-CoA dehydrogenase	333.84	321.72	267.97	89.72	98.02	153.52	307.843333	113.753333
gene-BBA_02638	BBA_02638	Putative Rab7-like GTPase	267.65	294.1	245.43	313.56	269.4	333.67	269.06	305.543333
gene-BBA_02639	BBA_02639	ATPase associated with various cellular activities AAA_3	45.04	44.68	36.52	41.41	31.63	41.22	42.08	38.086667
gene-BBA_02640	BBA_02640	Guanosine diphosphatase	70.55	66.18	73.82	57.82	56.97	59.75	70.183333	58.18
gene-BBA_02641	BBA_02641	GANP/Nin1/mts3/eIF-3 p25 family protein	10.57	9.78	13.39	10.48	10.4	11.33	11.246667	10.736667
gene-BBA_02642	BBA_02642	low temperature viability protein	56.23	55.09	66.89	45.01	31.15	50.18	59.403333	42.113333
gene-BBA_02643	BBA_02643	nucleolar GTP-binding protein	58.34	51.8	61.91	45.45	38.42	48.21	57.35	44.026667
gene-BBA_02644	BBA_02644	Ncp1-like protein	1.69	1.17	2.67	8.29	6.28	9.32	1.843333	7.963333
gene-BBA_02645	BBA_02645	"beta-1, 3-glucan binding protein"	0.19	0.5	1.23	13.37	8.31	13.05	0.64	11.576667
gene-BBA_02646	BBA_02646	GAS2 domain-containing protein	10.34	7.53	12.43	13.18	11.18	17.29	10.1	13.883333
gene-BBA_02647	BBA_02647	cutinase transcription factor 1 beta	29.17	21.8	31.78	24.42	25.05	24.83	27.583333	24.766667
gene-BBA_02648	BBA_02648	malic enzyme	109.39	149.33	103.79	180.62	163.24	169.65	120.836667	171.17
gene-BBA_02649	BBA_02649	hypothetical protein	5.3	5.98	6.63	7.74	7.05	8.91	5.97	7.9
gene-BBA_02650	BBA_02650	TruB family pseudouridylate synthase	13.25	11.71	16.07	12.44	11.12	12.94	13.676667	12.166667
gene-BBA_02651	BBA_02651	LPXTG-domain-containing protein	15.42	14.44	18.29	137.01	143.57	190.66	16.05	157.08
gene-BBA_02652	BBA_02652	centromere/microtubule-binding protein cbf5	52.24	46.26	64.69	66.85	68.29	77.5	54.396667	70.88
gene-BBA_02653	BBA_02653	carbon-nitrogen hydrolase	0	0.22	0	0.35	0.49	0.24	0.073333	0.36
